sentence	subj_idx	verb_idx	verb_pos	verb	inflected_verb
the building is the tallest in the city of riverside by height though the mount NNP manor has two more floors .	1	2	VBZ	is	are
its educational NNS include NNP 's college , NNP 's a .	2	3	VBP	include	includes
pictures of this new english edition are available below .	0	6	VBP	are	is
jeff NNP source photo -- -- -- source NNP must tell you that the photo provided with the source is by far a better picture of jeff NNP and i highly suggest someone to change the current photo if possible .	14	19	VBZ	is	are
the cemetery also includes the graves of JJ NNP county residents who died in a JJ JJ around 1900 .	1	3	VBZ	includes	include
article CD of the korean copyright act allows the korean copyright commission to recommend NNP to VB the accounts of repeat file sharing NNS ( as VBN by the commission ) for six months .	0	7	VBZ	allows	allow
wealthy countries have very JJ air accident investigation societies ; poor countries ask for help from wealthy countries ( usually canada for some reason - i suppose they put a lot of money into air investigation during and after NNP - but sometimes the us or the uk ) .	1	2	VBP	have	has
exceptions happen from that general rule , while NNP NNP broadcast JJ movies ( in the morning hours ) .	0	1	VBP	happen	happens
the article subject is very RB notable is best .	2	3	VBZ	is	are
the NN laws of the united states tend to reflect a distinction like this .	2	7	VBP	tend	tends
six small advertising signs represent the NN keys .	3	4	VBP	represent	represents
the material consistently regards god as standing outside the world of physical nature and man .	1	3	VBZ	regards	regard
NNP 's plan is to release a JJ version of the go , but it is possible that a JJ version will be released as well .	2	3	VBZ	is	are
the current president of the society is NNP NNP .	2	6	VBZ	is	are
the CD seats are all individually VBN in order to provide the best experience .	2	3	VBP	are	is
today the league consists of 14 teams playing a double NN .	2	3	VBZ	consists	consist
the shorts are now in the public domain .	1	2	VBP	are	is
the time that a NN takes to discharge ( for moderate rates of discharge ) is largely dependent on the load to which you VBP it .	4	5	VBZ	takes	take
the tendency in england is for parishes to become larger the further north they are situated ; this is because the NN tends to become more VBN out in areas such as NNP and NNP .	1	4	VBZ	is	are
summers are hot and dry , with temperatures above .	0	1	VBP	are	is
the rationale claims the image is possible in the NNP .	4	5	VBZ	is	are
will NNP is a smooth jazz composer , alto NN and recording artist whose 2007 release , will call is his first with NN records .	15	19	VBZ	is	are
afd by third party - article still stands .	5	7	VBZ	stands	stand
the structure is similar to the one NN ( see next paragraph ) uses , but there are substantial differences .	1	2	VBZ	is	are
the nearest airport is NNP international airport which is about 88 kilometers away .	2	3	VBZ	is	are
the fuel elements , known as `` NNS '' , are to be removed to NNP for VBG , starting in 2014 or CD .	2	10	VBP	are	is
an eu statement demonstrates this afd context to be false - it did have an impact .	2	3	VBZ	demonstrates	demonstrate
the bush administration points to the long period of sustained growth , both in NNP and in overall job numbers , as well as increases in personal income and NNS in the government NN .	2	3	VBZ	points	point
the fruit bodies develop slowly , and specimens left until late in the season can grow up to five pounds or more .	2	3	VBP	develop	develops
the building contains elements of the queen anne revival and the arts and crafts styles .	1	2	VBZ	contains	contain
cycle 1 looks at the human person as we were created to be `` in the beginning '' ( original man ) ; cycle 2 addresses human life after original sin , JJ and VBN ( historical man ) .	0	2	VBZ	looks	look
same comment that i stated in the second base NNP , fix the formatting of your NN use .	1	11	VBZ	fix	fixes
the clash of cultures here is very deep , and at this level of depth of cultural NN , many people will be JJ to RB VB even when a guest .	1	5	VBZ	is	are
the supporters believe the results of the elections are being VBN .	1	2	VBP	believe	believes
this difference in NN positions seems to be the key factor in NNP activation leading to NN of JJ NN synthesis .	1	5	VBZ	seems	seem
the main writer is the subject himself , which likely results in a conflict of interest .	2	3	VBZ	is	are
if the NN is not properly protected , it may get NNS .	2	3	VBZ	is	are
humans use NN NN for body heat NN , particularly to remove the heat produced during exercise .	0	1	VBP	use	uses
the island is also a part of the NNP 's 1st constituency .	1	2	VBZ	is	are
the key issues are the actual definitions of the words .	2	3	VBP	are	is
race officers are a type of race official used during the running of sailing races run under the racing rules of sailing .	1	2	VBP	are	is
the stadium currently holds 2 , 000 people .	1	3	VBZ	holds	hold
a priest is a person VBN to perform the sacred rituals of a religion , especially as a JJ agent between humans and one or more NNS .	1	2	VBZ	is	are
history creates its own ethical NNS , and action requires only faith rather than NN .	8	9	VBZ	requires	require
both river valleys are typically JJ VBN valleys in JJ sandstone and coal measures .	2	3	VBP	are	is
this article is an unnecessary content fork of alice a .	1	2	VBZ	is	are
mystery special NNP - when the game begins , they will receive either a flame NNP , star NNP , or a NNP .	6	7	VBZ	begins	begin
this area is close to the rest of the city of NNP , and the limits with the NNS of felix NNP and NNP NNP .	1	2	VBZ	is	are
many rap songs from the twin cities speak on social and political issues , and also involve personal stories .	2	7	VBP	speak	speaks
his favorite games are NNP iii , NNP , and company of NNP `` smart '' nick is an expert when it comes to computers , but besides that is JJ .	2	3	VBP	are	is
the ship has capacity for 2 , CD passengers and a crew complement of CD .	1	2	VBZ	has	have
so these things need to be removed .	2	3	VBP	need	needs
an NN of the wizard of oz , the NNP man , played by richard NNP , is a scholar who is VBN to NNP , a drug created by NNP .	1	17	VBZ	is	are
a standard fly mask is not generally used while riding , as the NN NN VBZ with the NN and the minimal visual NN of the NN presents a safety issue .	3	4	VBZ	is	are
none of the three admin tools i have JJ to use ( blocking , protection , deletion ) seem to be justified in this case , so i seriously have no idea why this discussion is at this noticeboard rather than at a more appropriate one .	34	35	VBZ	is	are
the village is close to the old JJ channel of the lake and the NN of the NNP JJ power scheme .	1	2	VBZ	is	are
the channel is available via cable television , and since 2006 has been available worldwide as one of a number of channels airing greek language programmes .	1	2	VBZ	is	are
the design is with a total length of CD relatively compact and therefore JJ on the scale of a national laboratory .	1	2	VBZ	is	are
similar to a NN , this variation involves VBG on the nose of the NN at the top of a transition or NN .	6	7	VBZ	involves	involve
NNP , liverpool 1870 the church is in JJ style with four NNS and JJ windows .	5	6	VBZ	is	are
the highest point in the NN is NNP peak , an NN lava dome located entirely within the NN .	2	6	VBZ	is	are
in the final scene of the NNP , when the families gather on the beach , NNP has a cameo as NNP 's sister .	10	11	VBP	gather	gathers
the governing organisation of NNP in the uk , church of NNP religious education college , inc ( NNP ) , is a corporation registered in south australia .	2	21	VBZ	is	are
with science fiction settings , these games take an abstract view to racing and may feature abstract vehicles such as NNS and race in alien environments .	6	7	VBP	take	takes
i note the obvious bias that many ( though certainly not all ) of them have expressed in these areas themselves , and point out that an interest in a JJ area is not a conflict of interest in that area .	27	32	VBZ	is	are
united states the rationale used by this court in NNP is equally applicable to NNP .	3	10	VBZ	is	are
leaders normally sing the tenor part while leading , no matter what section they normally occupy ; this matches the part of the singers they are directly facing .	10	18	VBZ	matches	match
if this article is notable , then it will stand on its own , and without the NNS of NN or bloc voting .	2	3	VBZ	is	are
the interaction section is very JJ , with no NN narrative .	2	3	VBZ	is	are
NNS railway is a french railway line linking the JJ railway from a junction near NNS to NNS .	1	2	VBZ	is	are
the force maintains nearly 100 such vehicles under JJ NNP control room vehicle ( NNP ) fitted with advanced NN NNS and wireless communications systems .	1	2	VBZ	maintains	maintain
the NN indicates the value of the operation for each combination of regions , with dark VBG 1 and light 0 ( some authors use the opposite convention ) .	23	24	VBP	use	uses
they note that `` [ her ] high notes are sweet and JJ , her NN is JJ and JJ , and her NN is RB confident for a pop NN whose career is tied for NN to the NNS of her american idol NNS '' .	8	9	VBP	are	is
my opinion is to try and style it after batman and captain marvel ( dc comics ) but more RB since we already have those NNP as templates .	1	2	VBZ	is	are
if using a JJ reader , the test is JJ and JJ curves have an initial linear region .	7	8	VBZ	is	are
NNP facilities for primary , secondary and tertiary care are important to effective community health work .	1	9	VBP	are	is
the vast majority of the population is albanian and RB to islam .	2	6	VBZ	is	are
historical commentary on 1965 performance of NNP song is about the fate of the 17th century russian rebel , NNP NNP .	1	8	VBZ	is	are
the position is slightly different in the case of a JJ trust ; in such cases the NNS are dependent upon the exercise by the trustees of their powers under the trust instrument in their favour .	17	18	VBP	are	is
other smaller islands include NNP , NNP and further to the east NNP ( correct form NNP ) ( mt .	2	3	VBP	include	includes
in canada and europe , heated hand NNS and heated seats are also part of the executive package .	10	11	VBP	are	is
the text of the moved passage runs from `` our NNS were JJ , and holmes lay VBN upon the NN '' to `` i should not have VBN it upon your attention had you not shown some NN the other day .	1	6	VBZ	runs	run
the episode opens with the family gathering at the airport , traveling by bus to the local NN village .	1	2	VBZ	opens	open
you have to follow what the sources say about someone .	6	7	VBP	say	says
the primary option is in favour of VBG the economically , RB and RB less JJ , in the society .	2	3	VBZ	is	are
population levels are subject to wide NNS .	1	2	VBP	are	is
best lawyers best law firms guide in 22 practice areas .	1	5	VBP	guide	guides
the main line extends RB from NNP to NNP , a distance of 42 .	2	3	VBZ	extends	extend
this general lack of commitment by schools to the internet reflects a limited perception of its capacity to provide educational outcomes for the school community .	2	10	VBZ	reflects	reflect
the terminal line is JJ and indicated by black , JJ NNS .	2	3	VBZ	is	are
this kind of JJ pronunciation tends to occur in places with conservative NN , such as ireland , scotland , parts of the north of england , or NNP .	1	5	VBZ	tends	tend
NNP felt that the quality of the adventures also varies greatly , and that while most are `` fairly good '' , he continued `` [ a ] few are so thin and VBD that i VBD why they were included '' .	4	9	VBZ	varies	vary
the west front is plain , and has a pointed window of five lights .	2	3	VBZ	is	are
when a case is pending , it is almost certainly best to keep the dispute in one place .	2	3	VBZ	is	are
there is little room in a biographical article for the NNP VBD listing of NNS , and the article does nothing whatever to explain the effects he has had on law or agriculture .	18	19	VBZ	does	do
if the engaging pieces are of equal rank , both are removed .	3	4	VBP	are	is
if a connection to the fire department is optional , or is prohibited , a fire alarm system is often connected to a monitoring center at the building owner 's NN .	2	7	VBZ	is	are
these NNS still have NNS attached to them and when met with other NNS , form multiple NNS .	1	3	VBP	have	has
the NN is on a boat .	1	2	VBZ	is	are
the yacht has one helicopter NN .	1	2	VBZ	has	have
all complications of JJ section are more likely and more severe if it is done as an emergency after a failed attempt at JJ delivery rather than as a planned operation .	1	5	VBP	are	is
the identity of `` planet 14 '' is uncertain , and has been the subject of much fan discussion and speculation .	1	7	VBZ	is	are
the nearby NNP weather station shows average daily maximum temperatures ranging from in january to in july , with CD hours of sunshine per year , and an average annual rainfall of .	4	5	VBZ	shows	show
the figure shows a NNP array , one of the possible ways of achieving this .	1	2	VBZ	shows	show
needs references , and RB , the article reads more like a press release than an NN article ( in agreement with NNP ) .	7	8	VBZ	reads	read
the song features the same guitar NN that appears in the beginning of `` NNP ii '' and during the NN a keyboard quotes the opening NN to NNP bells , a trick that he VBZ in later pieces such as `` NNS '' .	1	2	VBZ	features	feature
his user page appears to have his full name as referenced from a previous account he had , and it also gives his birth date , city and state he lives in and even the school he VBZ .	2	3	VBZ	appears	appear
the only hope for this article is if someone , somewhere finds a way to alter wikipedia 's culture in order to permit the JJ appointment of a panel of people who are deemed responsible enough to follow npov as well as JJ enough to do the job well .	2	6	VBZ	is	are
inscriptions on the stone indicate to some the existence of a JJ civilization but to others the rocks are natural formations VBN by the wind or the result of NN caused by waves when this region was under the sea .	0	4	VBP	indicate	indicates
date ranges take en NNS , not JJ NNS .	1	2	VBP	take	takes
topic is RB encyclopedic , and does not fail notability .	0	1	VBZ	is	are
hip providers VBP that there need not be any delay as long as the NN VBZ out the NN in a JJ fashion .	14	15	VBZ	fills	fill
but a big part of my job is to pass .	3	7	VBZ	is	are
his photographs are of happy faces , [ .	1	2	VBP	are	is
in the uk until very recently ( and details are JJ ) the administration would give anonymous NNS to so-called lobby NNS .	8	9	VBP	are	is
the NN rule is more flexible than the golden or NNP rule , in that the NN rule requires judges to look over four tasks to ensure that NNS within the law are covered .	17	18	VBZ	requires	require
major churches include st john anglican church NNP , catholic church NNP and baptist church NNP .	1	2	VBP	include	includes
asking people to stay off your talk page is a warning sign of NN .	7	8	VBZ	is	are
it can also occur when a person trips over an object or NNS on a JJ surface , especially if that person has JJ factors .	21	22	VBZ	has	have
i agree with that , provided the consensus is that a regiment is notable ( i still have some doubts ) .	11	12	VBZ	is	are
the character , portrayed by actor ian NNP in the feature films , is the main NN of the saga .	1	13	VBZ	is	are
total war is a sequel in the total war series , in which the conflict takes place during the NNP period .	14	15	VBZ	takes	take
while fusion power is still in early stages of development , substantial NNS have been and continue to be invested in research .	2	3	VBZ	is	are
subsequently the head fails to grow while the face continues to develop at a normal rate , producing a child with a small head and a NN NN , and a loose , often VBD NN .	8	9	VBZ	continues	continue
the problem with these figures is that they 're only about one little aspect and between NNS it 's not even VBN , so they do n't even serve for a comparison .	1	5	VBZ	is	are
the official english language translation is JJ examination , but the test in fact constitutes the high school 's final exam ( s ) , in other words it is a high school graduation exam .	11	14	VBZ	constitutes	constitute
the `` heroes ' bell '' in the tower on the NNP side VBZ CD .	4	13	VBZ	weighs	weigh
this category includes organizations and educational departments which have a major focus on appropriate technology .	1	2	VBZ	includes	include
the primary function of the telescope is visual spectrum observation following JJ NNS .	2	6	VBZ	is	are
NNP james of the new york times described the film as `` RB JJ '' and said , `` this RB JJ film has no idea how JJ and VBG it is .	22	23	VBZ	has	have
JJ displays handle all numbers and a limited set of letters .	1	2	VBP	handle	handles
the black rock neighborhood has a mix of residential and commercial properties , with most of the retail stores being located along NNP avenue , the main NN , which connects black rock to NNP and downtown NNP .	3	4	VBZ	has	have
man of iron , a movie by NNP NNP where the massacre plays an important role .	11	12	VBZ	plays	play
game time varies , but a match of two to three players is usually completed in 20 minutes .	1	2	VBZ	varies	vary
the JJ NN of his former works may be wanting , but the book is JJ for its stores of NN and NN , and RB most VBG through the author 's NN NNS and JJ NN to every modern innovation .	13	14	VBZ	is	are
he said that if a new album is not right for the band , then they will simply release the songs online .	6	7	VBZ	is	are
track 7 is a bay platform , which is connected to the home platform .	0	2	VBZ	is	are
in her second novel , the dancer from the dance , the young female protagonist is JJ .	14	15	VBZ	is	are
a NN machine is a VBG machine that takes cash in payment for NNS of NNS .	2	3	VBZ	is	are
the core spaces are the spaces made by sony computer entertainment , specifically for the home environment .	2	3	VBP	are	is
the new title is the latest NN in the winning eleven series which has sold over 56 million copies ( as of september 2009 ) worldwide .	2	3	VBZ	is	are
in response to your other statement , the problem is , this association has not VBN the production of a news story .	8	9	VBZ	is	are
an example in english is the vowel sound in the second NN of the word NN .	1	4	VBZ	is	are
if anyone is hurling VBN to join ring on the magical NN of fame , that man is john doyle of NNP .	16	17	VBZ	is	are
the contributions of the NNP are noteworthy .	1	5	VBP	are	is
since the stamp was issued prior to 1923 , it is no longer subject to copyright , and an exact two JJ copyright of it also has no claim to copyright .	22	26	VBZ	has	have
i think the fly in the NN here is really that there has been no claim of NN made in germany .	3	8	VBZ	is	are
NN is notable , having had a comparable circulation to NNP !	0	1	VBZ	is	are
virtually unused ( 5 NNS ) template , that can be VBN by the linked NNS themselves ( in a collapsed state ) .	4	6	VBP	template	templates
the fictional NN of imperial NNP NNS follows the prussian NNP system , with honour NN depicted in the novel space marine .	2	7	VBZ	follows	follow
in addition , the NNP comics editions feature all the color pages made for the 2003 japanese NN in addition , the books are being produced larger than the NNP , NNP , and japanese editions .	6	7	VBP	feature	features
also , if the names contain any proper NNS like `` texas '' or `` omaha '' , make sure to VB them .	4	5	VBP	contain	contains
unfortunately , the damage done to newfoundland 's coastal NN was JJ , and even after sixteen years , the northern NNP population has failed to VB and the NN NN remains closed .	30	31	VBZ	remains	remain
NN , this article is JJ but at its current state , needs a lot of improvement .	3	4	VBZ	is	are
grant 's book is a NN of a popular title from the NNS .	2	3	VBZ	is	are
full NNS are available for NNP .	1	2	VBP	are	is
today the college offers more than 30 programs .	2	3	VBZ	offers	offer
maybe some people are n't old enough to enjoy your blood and NN VBD games that you also lead me to believe you play .	2	3	VBP	are	is
the NNP NNP character is also now VBG NNP the bird with his tail NNS , and the NN NNS are shown .	3	4	VBZ	is	are
it belongs to the NNP NNP county ( NNP del NNP NNP ) which capital is NNP de la NNP .	14	15	VBZ	is	are
in probability , a JJ stand is the belief that NNS are simply JJ by rational agents in a certain NN , and which have no objective reality in and of themselves .	5	6	VBZ	is	are
the artist is still activity working , and has no plans to retire except in the case of physical disability .	1	2	VBZ	is	are
the guideline needs to fit the policy .	1	2	VBZ	needs	need
the people of NNP NNP are mostly farmers and rely on agriculture as the best profession in that area .	1	5	VBP	are	is
and contrary to what NNP thinks , i think it rather JJ and was VBN at how well the document fits the present times .	19	20	VBZ	fits	fit
often a religious text , such as the bible or NNP , states that a miracle occurred , and NNS accept this as a fact .	19	20	VBP	accept	accepts
NNS are similar , but young birds have pale brown instead of grey , and dark brown replacing black .	0	1	VBP	are	is
the NN will determine which NN is best used during NN .	5	6	VBZ	is	are
in 2003 , the chart format was removed and was replaced by take 7 , where seven of the most popular artists from the week are featured and the most popular artist receives the award for NNP song .	31	32	VBZ	receives	receive
an ice cream cone , NN or NN is a dry , JJ NN , usually made of a NN similar in NN to a NN , which enables ice cream to be held in the hand and eaten without a bowl or NN .	3	8	VBZ	is	are
the exact definition and feature set is contentious though , and VBZ as different NNS of NNP attempt to distinguish themselves from their competitors and avoid being excluded , and customers express NNS ranging from JJ to JJ .	30	31	VBP	express	expresses
his cap band indicates that he was assigned to uss NNP ( NNP ) .	2	3	VBZ	indicates	indicate
other plays showing its influence are gary mitchell 's in a little world of our own and rod wooden 's your home in the west .	1	5	VBP	are	is
an estimated 8 , 000 people live in the area ; 80 percent of the residents use private wells for their water supply .	5	6	VBP	live	lives
when the NN is an NN the reaction product is a NN .	8	9	VBZ	is	are
the adult female has a RB pointed JJ end , is 8 to 13 NNS long , and 0 .	2	3	VBZ	has	have
on charts , some wreck symbols have a line under the symbol with a depth mark , which indicates the water depth above the wreck .	5	6	VBP	have	has
the new facilities in the NNP independent school district are one of the high schools and the new elementary school .	2	9	VBP	are	is
but they have low NN once the weapons pop out .	7	8	VBP	pop	pops
in the NNS , the first fire station has to be VBN and upgraded .	7	8	VBZ	has	have
persian and arabic JJ given JJ ' NNS cause similar difficulty .	7	8	VBP	cause	causes
VBG in return for a contribution , '' the committee officially found that NNP 's conduct had been `` JJ and JJ '' , VBG of `` the JJS , strongest and most severe NN which the committee has the authority to VB .	37	38	VBZ	has	have
an the nominator thinks that some of the content should be included in another article , so this should have been a merge discussion and not a deletion .	2	3	VBZ	thinks	think
the castle is nothing more than a NN now , known as blood rock for the massacre which took place there .	1	2	VBZ	is	are
the main difference is that the player can now VB to fly missions as a german pilot , VBG the war from the opposite perspective .	2	3	VBZ	is	are
his songs dealt with everyday life and simple people .	1	2	VBP	dealt	dealt
in reality there is no specific regulatory requirement that the cbc 's networks carry the nhl , nor that there be NN between the two networks ' carriage NN .	12	13	VBP	carry	carries
next life is an adventure game developed by czech company future games and published by the adventure company designed for microsoft JJ computers .	1	2	VBZ	is	are
with everything else on wikipedia , comments are permanent except for deleted articles where the comments are not relevant to creating or having a legitimate article .	6	7	VBP	are	is
criteria for this listing include occurrence in an area of extensive , suitable habitat which appears to not be under any substantial threat , an assumed large population , and a slow rate of decline .	0	4	VBP	include	includes
other graduates include former secretary of state george NNP , NNP shields and NNP NNP .	1	2	VBP	include	includes
the organization works through its head office in NNP , kenya ; supporting 3 country program offices , CD staff members and over CD , 000 NNS .	1	2	VBZ	works	work
as i VBD above , it is just difficult to handle it here , because while the source seems reasonable a quick look at the argument shows it might be a difficult case .	17	18	VBZ	seems	seem
the current mayor of NNP is NNP rogers .	2	5	VBZ	is	are
although the musicians are notable , the list is not notable .	7	8	VBZ	is	are
i think at least the terms NNP , NNP and NNP need explanation in this or following sentences .	5	11	VBP	need	needs
his position on the field is JJ .	1	5	VBZ	is	are
the purpose of these offices is to develop resources locally , and to help vietnamese in danger of being a victim of human trafficking .	1	5	VBZ	is	are
prior to the NN , the referee does a roll call to verify the presence of all players .	6	7	VBZ	does	do
boots are NNP and VB tend to be NNP or head .	0	1	VBP	are	is
new stems spring from NNS , a type often called NN , and the stems often have no tips , VBG RB out of the space .	14	16	VBP	have	has
notes , encourages players to learn and adopt basic infantry tactics - defenders are encouraged to site machine guns to dominate fields of fire , while NNS are encouraged to have some men give covering fire while others moved .	32	33	VBP	give	gives
the school name itself comes from a road which runs from hyde park , spans the city of westminster and passes through NNP and chelsea .	2	4	VBZ	comes	come
despite NNP 's NNS of any formal link between the two organisations , its official statements call the NNP a `` JJ resistance organisation '' and their journal combat NNP publishes the NNP 's press releases .	15	16	VBP	call	calls
by the way , the task of the bot is to create less than 19 .	5	9	VBZ	is	are
news sources on the internet do that all the time , of course .	1	5	VBP	do	does
some scholars of the social sciences consider it a form of racism , although this is debated .	1	6	VBP	consider	considers
consequently , the most common NN NNS are the less JJ JJ NN and NN groups .	6	7	VBP	are	is
qualification of what was actually proved is necessary because of the JJ difficulties .	0	6	VBZ	is	are
the first reference is from a bulgarian site that presents a JJ stance .	2	3	VBZ	is	are
the game shows soon followed , with NNP presented by NNP NNP , under the slogan NNP ce NN sur NNP , and advertising based on car NNS which viewers were encouraged to place in their cars , with these cars then being filmed and broadcast on air .	1	2	VBZ	shows	show
it was used in JJ countries to play the JJ part in NNS , and this tradition survives in NNP NN NNS .	16	17	VBZ	survives	survive
for further commitment , the patient is VBN by a mental health court , part of family court , for which the public defender assists the patient .	23	24	VBZ	assists	assist
his art consists of VBG raw material into another state , VBG it with a sense of soul and identity .	1	2	VBZ	consists	consist
a lake resort of NNP bay is near thomson lake regional park .	2	6	VBZ	is	are
JJ team 's supporters receive a bonus from their boss .	3	4	VBP	receive	receives
that last edit also explains well where i was coming from , and why i acted as i did .	2	4	VBZ	explains	explain
stone and brick VBP the tomb has two NNS , two NNS , and a chapel .	5	6	VBZ	has	have
the NN rule therefore VBZ white from playing at the marked intersection immediately .	2	4	VBZ	prohibits	prohibit
police are VBN off when his mother comes to visit and finds him there .	6	7	VBZ	comes	come
the role of NN is also odd , since slaves are usually taken to , not from , a frontier .	1	4	VBZ	is	are
not all crimes require specific intent , and the threshold of NN required may be reduced .	2	3	VBP	require	requires
however , tommy 's regained powers are only temporary and must be frequently VBN by NNP , who mentions that the green ranger 's powers will ultimately fail .	5	6	VBP	are	is
endorse deletion , afd is not a NN , well within closing NN .	1	4	VBZ	is	are
JJ systems have an entirely different architecture from the other systems , similar to that of JJ personal NNS that they are based on , with a traditional NN architecture with buses and NNS .	1	2	VBP	have	has
a much larger version of the NNP bottle , called the NNP NNP , has the same NN technology .	3	14	VBZ	has	have
the context is that the team was then missing experienced players .	1	2	VBZ	is	are
reliable - `` questionable sources are those with a poor reputation for checking the facts , or which lack meaningful editorial oversight .	4	5	VBP	are	is
two brick houses from 1500 form part of the boundary walls and a few brick houses near the church are evidence of the prosperity the town enjoyed in the 15th century .	2	19	VBP	are	is
the NN forests are a generally a JJ composition , VBN with some single species stands .	2	3	VBP	are	is
if damaged , the process of restoring the original shape is more complex than producing a new one .	4	10	VBZ	is	are
the reason for its regular NNS is due to its method of construction , NN , which is by far the most common method of hill figure construction .	1	6	VBZ	is	are
the major health concern is JJ NN , and a minor recurring concern is that the breed can be prone to VB eyes .	12	13	VBZ	is	are
other islands in the immediate vicinity include clark island , NNP island , king island , leading island , and NNP island .	1	6	VBP	include	includes
contracts in which at least one of the parties is a minor are JJ by the minor .	0	12	VBP	are	is
the campus now looks more like a university campus VBG six blocks with easy access , convenient parking , covered NNS , NNS , water NNS , gardens and a track for walking and running .	1	3	VBZ	looks	look
another JJ lake , brook lake , also stands below the dam .	2	8	VBZ	stands	stand
this is done under the `` NN '' domain for the purpose of making websites JJ if a user has JJ software installed that blocks NN 's ads by blocking its domain .	18	19	VBZ	has	have
traditionally , the NNP people have a king known as the NNP NNP .	4	5	VBP	have	has
the touch of your NNS '' is a romantic ballad written by ray noble in 1936 .	1	6	VBZ	is	are
the inclusion of a NN refers back to another dramatic episode in JJ history , the battle of NNP in CD , when 600 citizens of NNP lost their lives .	1	5	VBZ	refers	refer
if the victim VBZ , leave him in the position in which he was found provided there is no further danger , try to find out what is wrong with him and get help if needed , and VB him regularly .	2	3	VBZ	responds	respond
the library holds more than 46 , 000 volumes and numerous online subscription databases .	1	2	VBZ	holds	hold
females have a standard desirable height between at the NNS , with a minimum weight at NN of and a maximum weight of .	0	1	VBP	have	has
VBN was born in NNP , norway ; her father , NNP NNP NNP is a teacher .	9	14	VBZ	is	are
JJR compounds in JJ chemistry contain carbon to copper chemical bonds .	1	5	VBP	contain	contains
unlike other NNS such as NNP , the teeth are not JJ , or narrow at the base .	8	9	VBP	are	is
descendants of the original founders still reside in the community .	0	6	VBP	reside	resides
the franklin graph can be drawn on the klein bottle in a way that forms six JJ regions , showing that this bound is tight .	22	23	VBZ	is	are
so my question is whether to just go ahead and make stub articles ( which are easier to look NN ) , put them in the NNP or just use one main NNP article to VB .	2	3	VBZ	is	are
the service covers an area of 1 , CD .	1	2	VBZ	covers	cover
other frequent subjects include female NNS and mothers with children .	2	3	VBP	include	includes
a good example of this is in the case of jones v powell ( CD ) .	2	5	VBZ	is	are
NNP railway station is on the NNP to NNP line .	2	3	VBZ	is	are
cottage industries such as pottery , NN , crafts and NNS also VBP .	1	12	VBP	persist	persists
however , critics have stated that NNP 's proposed developmental sequences bear no resemblance to anything actually observed during JJ development .	10	11	VBP	bear	bears
the game starts in a club where lewis and his band play , lewis spots a tall JJ looking man in the crowd ( who is later revealed to be a demon called NNP ) and he gets VBN .	1	2	VBZ	starts	start
similar copies are part of the group that board NNP NNP to rescue and VB aaron NNP .	1	2	VBP	are	is
the museum itself has huge collections from which publicly available is only a part .	1	3	VBZ	has	have
NNP hill members seek a sustainable lifestyle .	2	3	VBP	seek	seeks
the JJS solution to the NNP problem is to VB the distance from the NN point to every other point in the database , keeping track of the `` best so far '' .	2	7	VBZ	is	are
my name is NNP NNP lee , but most people know me as kim NNP ill , or NN .	1	2	VBZ	is	are
the NNP mansion address is CD saint NNP drive ; baltimore , maryland , CD .	3	4	VBZ	is	are
the score contains features novel for its time , including experiments in NN , metre , rhythm , stress and NN .	1	2	VBZ	contains	contain
palestinian NNS fire two rockets from the gaza strip into israel .	1	2	VBP	fire	fires
RBR inherited territories that today form the northern part of the canton of NNP .	2	5	VBP	form	forms
other VBG arrangements produce yet smaller books such as the NN ( CD ) ( duo et NN ) .	2	3	VBP	produce	produces
but when talking about an article about a different subject , the question of JJ weight VBZ when mentioning a topic not notable in itself .	12	16	VBZ	arises	arise
the principal NNP is called RP or NNP , that is , the ruler of NNP or the king of laws .	1	10	VBZ	is	are
the oldest clay NNS come from NNP and date to the late fourth millennium bce , slightly earlier than the NNP NNP period .	3	4	VBP	come	comes
this JJ fact reveals the genesis of NN .	2	3	VBZ	reveals	reveal
for instance , in the NN prisoner 's NN , the `` NNP '' move is not JJ for any probability of opponent cooperation .	14	15	VBZ	is	are
in the case of industrial equipment , the most common techniques for noise protection of workers consist of shock VBG source equipment , creation of JJ glass or other solid NNS , and provision of ear protection equipment .	10	16	VBP	consist	consists
and the page has like a NN of info regarding this .	2	3	VBZ	has	have
the locality offers excellent conditions for NN and tourism .	1	2	VBZ	offers	offer
each member of the community possesses a piece of the shared knowledge .	1	5	VBZ	possesses	possess
note also that the article says he is married to a `` textile artist and historian NNP NNP '' .	0	5	VBZ	says	say
this has to be a wind up - the company trademark comes top on google even above NN terminal four .	10	11	VBZ	comes	come
the titles are currently vacant after previous champions , el NNP and NNP , left the NNP promotion .	1	2	VBP	are	is
the orbit of NNP is unusual .	1	4	VBZ	is	are
reliable source examples , this book meets the top qualifications of an acceptable source .	5	6	VBZ	meets	meet
the three NN mission types are third person , overhead view , and first person .	4	5	VBP	are	is
the bill is fairly long , straight and mostly black with some pink on the lower NN .	1	2	VBZ	is	are
thomas NNP ( who held a phd and was the inventor of JJ lead and VBD NN NNS ) said of trial and error , `` the trick is to turn a wild JJ chase into a fox hunt '' ( quoted in hughes 2004 ) .	27	28	VBZ	is	are
the books generally follow the overall fate of its several NNS and the lands from which they VBP .	1	3	VBP	follow	follows
there is never any NN to VB something - and if the deletion is JJ , then there will be a NN on drv , which , once evident can be RB closed .	12	13	VBZ	is	are
